21:33:30  |  Platform  |  Info  |  * Initialise: RenderManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  43
21:33:30  |  Platform  |  Info  |  RenderManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  71
21:33:30  |  Platform  |  Info  |  * Initialise: DataManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  27
21:33:30  |  Platform  |  Info  |  DataManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  35
21:33:30  |  Core  |  Info  |  * Initialise: Gui  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  75
21:33:30  |  Core  |  Info  |  * MyGUI version 3.2.0.exported  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  82
21:33:30  |  Core  |  Info  |  * Initialise: ResourceManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  48
21:33:30  |  Core  |  Info  |  ResourceManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  56
21:33:30  |  Core  |  Info  |  * Initialise: LayerManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  49
21:33:30  |  Core  |  Info  |  LayerManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  57
21:33:30  |  Core  |  Info  |  * Initialise: WidgetManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  67
21:33:30  |  Core  |  Info  |  WidgetManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  98
21:33:30  |  Core  |  Info  |  * Initialise: InputManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_InputManager.cpp  |  58
21:33:30  |  Core  |  Info  |  InputManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
21:33:30  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  49
21:33:30  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  69
21:33:30  |  Core  |  Info  |  * Initialise: SkinManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
21:33:30  |  Core  |  Info  |  SkinManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  61
